SERIAL NO,COMMUNITY,SUB-CASTE
284,BC,Krishnanvaka (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
285,BC,Kudikara Vellalar
286,BC,Kudumbi ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
287,BC,Kuga Vellalar
288,BC,Kunchidigar
289,BC,Latin Catholics except Latin Catholic Vannar in Kanniyakumari District
290,BC,Lathin Catholics in Shencottah Taluk of Tirunelveli District
291,BC,Lambadi
292,BC,Lingayat (Jangama)
293,BC,Mahratta (Non-Brahmin) (including Namdev Mahratta)
294,BC,Malayar
295,BC,Male
296,BC,Maniagar
297,BC,"Maravars (except Thanjavur, Nagapattinum, Tiruvarur, Pudukottai, Ramanathapuram, Sivaganga, Virudhunagar, Tirunelveli and Toothukudi Districts), Karumaravars Appanad Kondayam kottai Maravar ?(except Sivaganga, Virudhunagar, Ramanathapuram, Madurai, Theni and Dindigul Districts ) Sembanad Maravars- (except Sivaganga, Virudhunagar, and Ramanathapuram Districts)"
298,BC,Moondrumandai Enbathunalu ( ) Ur Sozhia Vellalar
299,BC,Mooppan
300,BC,"Muthuraja, Muthuracha, Muttiriyar, Mutharaiyar"
301,BC,"Nadar, Shanar and Gramani"
302,BC,Nagaram
303,BC,Naikkar (in Kanniyakumari District and Shencottah Taluk of Tirunelveli District)
304,BC,Nangudi Vellalar
305,BC,Nanjil Mudali ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
306,BC,Odar ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
307,BC,Odiya
308,BC,Oottruvalanattu Vellalar
309,BC,O P S Vellalar
310,BC,Ovachar
311,BC,Paiyur Kotta Vellalar
312,BC,Pamulu
313,BC,Panar ( except in Kanniyakumari District and Shencottah Taluk of Tirunelveli District where the community is a Scheduled Caste )
314,BC,Pandiya Vellalar
315,BC,Kathikarar in Kanniyakumari District
316,BC,Pannirandam Chettiar or Uthama Chettiar
317,BC,"Parkavakulam ( including Surithimar, Nathamar, Malayamar, Moopanar and Nainar )"
318,BC,Perike ( including Perike Balija )
319,BC,Perumkollar ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
320,BC,Podikara Vellalar
321,BC,Pooluva Gounder
322,BC,Poraya
323,BC,Pulavar ( in Coimbatore and Erode Districts )
324,BC,Pulluvar or Pooluvar
325,BC,Pusala
326,BC,Reddy ( Ganjam )
327,BC,"Sadhu Chetty ( including Telugu Chetty, Twenty four Manai Telugu Chetty)"
328,BC,Sakkaravar or Kavathi ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
329,BC,Salivagana
330,BC,"Saliyar, Padmasaliyar, Pattusaliyar, Pattariyar, and Adhaviyar"
331,BC,Savalakkarar
332,BC,"Senaithalaivar, Senaikudiyar and Illaivaniar"
333,BC,Serakula Vellalar
334,BC,Sourashtra ( Patnulkarar )
335,BC,"Sozhiavellalar ( including Sozha Vellalar, Vetrilaikarar, Kodikalkarar and Keeraikarar )"
336,BC,Srisayar
337,BC,Sundaram Chetty
338,BC,Thogatta Veerakshatriya
339,BC,Tholkollar ( in Kanniyakumari District and Shencottah Taluk of Tirunelveli District )
340,BC,Tholuva Naicker and Vetalakara Naicker
341,BC,Thoraiyar
342,BC,Thoriyar
343,BC,Ukkirakula Kshatriya Naicker
344,BC,"Uppara, Uppillia and Sagara"
